resume_id,resume_text,resume_skills_norm,resume_titles_norm,resume_years_experience
451_33af63,"game developer, fintech developer. game developer with 6.58 years of experience building scalable systems. worked on secure platforms. strong background in graphql, docker, rust, c#, angular. delivered high-impact solutions using modern engineering practices. technical skills: graphql, docker, rust, c#, angular, ci/cd, react, kotlin, microservices, terraform, java. education: b.s. information technology, software engineering. expertise includes: continuous integration deployment (ci/cd), agile methodologies, scrum, restful api development, microservices.","['graphql', 'docker', 'rust', 'c#', 'angular', 'ci/cd', 'react', 'kotlin', 'microservices', 'terraform', 'java']","['game developer', 'fintech developer']",6.58
452_50db11,"ai engineer, fintech engineer. ai engineer with 9.24 years of experience building scalable systems. worked on distributed systems. strong background in angular, c++, spring, postgresql, python. delivered high-impact solutions using modern engineering practices. technical skills: angular, c++, spring, postgresql, python, microservices. education: b.s. information technology, software engineering. expertise includes: managed database structures, developed algorithm optimization, restful api development, microservices.","['angular', 'c++', 'spring', 'postgresql', 'python', 'microservices']","['ai engineer', 'fintech engineer']",9.24
453_03bfca,"backend developer, ai systems developer. backend developer with 8.1 years of experience building scalable systems. worked on ml pipelines. strong background in react, kubernetes, numpy, javascript, go. delivered high-impact solutions using modern engineering practices. technical skills: react, kubernetes, numpy, javascript, go, c++, rest apis, kotlin, c#, kafka. education: m.sc computer science & engineering, big data analytics. expertise includes: front-end and back-end integration, developed algorithm optimization, agile methodologies, scrum.","['react', 'kubernetes', 'numpy', 'javascript', 'go', 'c++', 'rest apis', 'kotlin', 'c#', 'kafka']","['backend developer', 'ai systems developer']",8.1
454_0d1b7d,"game developer, healthtech developer. game developer with 5.77 years of experience building scalable systems. worked on cloud-native apps. strong background in react, numpy, postgresql, terraform, vue. delivered high-impact solutions using modern engineering practices. technical skills: react, numpy, postgresql, terraform, vue, flask, azure, microservices. education: b.s. information technology, software engineering. expertise includes: managed database structures, agile methodologies, scrum, continuous integration deployment (ci/cd).","['react', 'numpy', 'postgresql', 'terraform', 'vue', 'flask', 'azure', 'microservices']","['game developer', 'healthtech developer']",5.77
455_3d524e,"cybersecurity analyst. cybersecurity analyst with 5.11 years of experience building scalable systems. worked on real-time analytics. strong background in graphql, postgresql, node.js, flask, go. delivered high-impact solutions using modern engineering practices. technical skills: graphql, postgresql, node.js, flask, go, git, mongodb, azure, linux, python, scikit-learn, kotlin. education: bachelor of science in computer science, department of mathematics. expertise includes: cloud infrastructure provisioning, data pipeline orchestration, managed database structures.","['graphql', 'postgresql', 'node.js', 'flask', 'go', 'git', 'mongodb', 'azure', 'linux', 'python', 'scikit-learn', 'kotlin']",['cybersecurity analyst'],5.11
456_3c5f06,"full stack developer, fintech developer. full stack developer with 4.79 years of experience building scalable systems. worked on cloud-native apps. strong background in numpy, java, rust, redis, kafka. delivered high-impact solutions using modern engineering practices. technical skills: numpy, java, rust, redis, kafka, react, scikit-learn. education: master of science, artificial intelligence and data science. expertise includes: front-end and back-end integration, system architecture design, continuous integration deployment (ci/cd).","['numpy', 'java', 'rust', 'redis', 'kafka', 'react', 'scikit-learn']","['full stack developer', 'fintech developer']",4.79
457_204c9e,"cloud engineer, fintech engineer. cloud engineer with 10.16 years of experience building scalable systems. worked on secure platforms. strong background in git, kotlin, tensorflow, rust, flask. delivered high-impact solutions using modern engineering practices. technical skills: git, kotlin, tensorflow, rust, flask, microservices, c++, django, ci/cd. education: bachelor of engineering, information systems. expertise includes: system architecture design, managed database structures, continuous integration deployment (ci/cd).","['git', 'kotlin', 'tensorflow', 'rust', 'flask', 'microservices', 'c++', 'django', 'ci/cd']","['cloud engineer', 'fintech engineer']",10.16
458_49bf8d,"ai engineer, gaming engineer. ai engineer with 3.6 years of experience building scalable systems. worked on secure platforms. strong background in aws, c++, pandas, vue, kotlin. delivered high-impact solutions using modern engineering practices. technical skills: aws, c++, pandas, vue, kotlin, graphql, microservices. education: bachelor of science in computer science, department of mathematics. expertise includes: front-end and back-end integration, restful api development, microservices, continuous integration deployment (ci/cd).","['aws', 'c++', 'pandas', 'vue', 'kotlin', 'graphql', 'microservices']","['ai engineer', 'gaming engineer']",3.6
459_8cc47e,"frontend developer, gaming developer. frontend developer with 1.41 years of experience building scalable systems. worked on ml pipelines. strong background in graphql, azure, angular, redis, kubernetes. delivered high-impact solutions using modern engineering practices. technical skills: graphql, azure, angular, redis, kubernetes, c#, postgresql, tensorflow, swift, rust. education: master of science, artificial intelligence and data science. expertise includes: cloud infrastructure provisioning, continuous integration deployment (ci/cd), front-end and back-end integration.","['graphql', 'azure', 'angular', 'redis', 'kubernetes', 'c#', 'postgresql', 'tensorflow', 'swift', 'rust']","['frontend developer', 'gaming developer']",1.41
460_a20bc8,"frontend developer, gaming developer. frontend developer with 11.77 years of experience building scalable systems. worked on real-time analytics. strong background in django, ci/cd, mongodb, rust, gcp. delivered high-impact solutions using modern engineering practices. technical skills: django, ci/cd, mongodb, rust, gcp, microservices, tensorflow, kotlin, c#, rest apis, java. education: master of science, artificial intelligence and data science. expertise includes: continuous integration deployment (ci/cd), machine learning model training, front-end and back-end integration.","['django', 'ci/cd', 'mongodb', 'rust', 'gcp', 'microservices', 'tensorflow', 'kotlin', 'c#', 'rest apis', 'java']","['frontend developer', 'gaming developer']",11.77
461_7f69c6,"backend developer, e-commerce developer. backend developer with 1.11 years of experience building scalable systems. worked on cloud-native apps. strong background in linux, mongodb, rust, angular, postgresql. delivered high-impact solutions using modern engineering practices. technical skills: linux, mongodb, rust, angular, postgresql, aws, terraform. education: bachelor of science in computer science, department of mathematics. expertise includes: developed algorithm optimization, restful api development, microservices, front-end and back-end integration.","['linux', 'mongodb', 'rust', 'angular', 'postgresql', 'aws', 'terraform']","['backend developer', 'e-commerce developer']",1.11
462_78adbc,"cybersecurity analyst. cybersecurity analyst with 1.91 years of experience building scalable systems. worked on ml pipelines. strong background in graphql, kotlin, kubernetes, django, spring. delivered high-impact solutions using modern engineering practices. technical skills: graphql, kotlin, kubernetes, django, spring, docker, go. education: b.s. information technology, software engineering. expertise includes: agile methodologies, scrum, cloud infrastructure provisioning, system architecture design.","['graphql', 'kotlin', 'kubernetes', 'django', 'spring', 'docker', 'go']",['cybersecurity analyst'],1.91
463_3bec9d,"cybersecurity analyst. cybersecurity analyst with 9.32 years of experience building scalable systems. worked on cloud-native apps. strong background in graphql, node.js, linux, aws, terraform. delivered high-impact solutions using modern engineering practices. technical skills: graphql, node.js, linux, aws, terraform, numpy, microservices, javascript, rust, django. education: master of science, artificial intelligence and data science. expertise includes: continuous integration deployment (ci/cd), agile methodologies, scrum, restful api development, microservices.","['graphql', 'node.js', 'linux', 'aws', 'terraform', 'numpy', 'microservices', 'javascript', 'rust', 'django']",['cybersecurity analyst'],9.32
464_f8b6ab,"embedded systems engineer, fintech engineer. embedded systems engineer with 10.44 years of experience building scalable systems. worked on cloud-native apps. strong background in react, angular, scikit-learn, vue, numpy. delivered high-impact solutions using modern engineering practices. technical skills: react, angular, scikit-learn, vue, numpy, redis. education: bachelor of science in computer science, department of mathematics. expertise includes: data pipeline orchestration, system architecture design, managed database structures.","['react', 'angular', 'scikit-learn', 'vue', 'numpy', 'redis']","['embedded systems engineer', 'fintech engineer']",10.44
465_0a0cf7,"mobile app developer, gaming developer. mobile app developer with 11.65 years of experience building scalable systems. worked on cloud-native apps. strong background in kubernetes, rust, typescript, microservices, flask. delivered high-impact solutions using modern engineering practices. technical skills: kubernetes, rust, typescript, microservices, flask, docker. education: m.sc computer science & engineering, big data analytics. expertise includes: managed database structures, data pipeline orchestration, machine learning model training.","['kubernetes', 'rust', 'typescript', 'microservices', 'flask', 'docker']","['mobile app developer', 'gaming developer']",11.65
466_7994e2,"cloud engineer, cloud platforms engineer. cloud engineer with 9.92 years of experience building scalable systems. worked on distributed systems. strong background in spring, swift, redis, angular, kotlin. delivered high-impact solutions using modern engineering practices. technical skills: spring, swift, redis, angular, kotlin, pandas, c++. education: bachelor of science in computer science, department of mathematics. expertise includes: developed algorithm optimization, managed database structures, agile methodologies, scrum.","['spring', 'swift', 'redis', 'angular', 'kotlin', 'pandas', 'c++']","['cloud engineer', 'cloud platforms engineer']",9.92
467_bf3349,"backend developer, e-commerce developer. backend developer with 7.94 years of experience building scalable systems. worked on distributed systems. strong background in redis, c++, tensorflow, vue, mongodb. delivered high-impact solutions using modern engineering practices. technical skills: redis, c++, tensorflow, vue, mongodb, rest apis, javascript. education: bachelor of engineering, information systems. expertise includes: agile methodologies, scrum, restful api development, microservices, system architecture design.","['redis', 'c++', 'tensorflow', 'vue', 'mongodb', 'rest apis', 'javascript']","['backend developer', 'e-commerce developer']",7.94
468_3b0ce2,"full stack developer, ai systems developer. full stack developer with 5.0 years of experience building scalable systems. worked on ml pipelines. strong background in javascript, terraform, scikit-learn, c++, java. delivered high-impact solutions using modern engineering practices. technical skills: javascript, terraform, scikit-learn, c++, java, docker, rest apis, node.js, kafka, kotlin. education: b.s. information technology, software engineering. expertise includes: managed database structures, front-end and back-end integration, agile methodologies, scrum.","['javascript', 'terraform', 'scikit-learn', 'c++', 'java', 'docker', 'rest apis', 'node.js', 'kafka', 'kotlin']","['full stack developer', 'ai systems developer']",5.0
469_6bbdbe,"ai engineer, cloud platforms engineer. ai engineer with 6.59 years of experience building scalable systems. worked on cloud-native apps. strong background in terraform, pandas, git, sql, spring. delivered high-impact solutions using modern engineering practices. technical skills: terraform, pandas, git, sql, spring, tensorflow, numpy, react, swift, mongodb, microservices, graphql. education: master of science, artificial intelligence and data science. expertise includes: developed algorithm optimization, data pipeline orchestration, cloud infrastructure provisioning.","['terraform', 'pandas', 'git', 'sql', 'spring', 'tensorflow', 'numpy', 'react', 'swift', 'mongodb', 'microservices', 'graphql']","['ai engineer', 'cloud platforms engineer']",6.59
470_d236c8,"cybersecurity analyst. cybersecurity analyst with 9.18 years of experience building scalable systems. worked on ml pipelines. strong background in go, redis, linux, pandas, mongodb. delivered high-impact solutions using modern engineering practices. technical skills: go, redis, linux, pandas, mongodb, terraform, tensorflow, microservices, kotlin. education: master of science, artificial intelligence and data science. expertise includes: data pipeline orchestration, restful api development, microservices, managed database structures.","['go', 'redis', 'linux', 'pandas', 'mongodb', 'terraform', 'tensorflow', 'microservices', 'kotlin']",['cybersecurity analyst'],9.18
471_797d00,"machine learning engineer, healthtech engineer. machine learning engineer with 6.45 years of experience building scalable systems. worked on real-time analytics. strong background in java, angular, numpy, microservices, flask. delivered high-impact solutions using modern engineering practices. technical skills: java, angular, numpy, microservices, flask, postgresql, pytorch, mongodb, scikit-learn. education: bachelor of engineering, information systems. expertise includes: front-end and back-end integration, managed database structures, cloud infrastructure provisioning.","['java', 'angular', 'numpy', 'microservices', 'flask', 'postgresql', 'pytorch', 'mongodb', 'scikit-learn']","['machine learning engineer', 'healthtech engineer']",6.45
472_0d4cd2,"backend developer, ai systems developer. backend developer with 10.15 years of experience building scalable systems. worked on ml pipelines. strong background in pytorch, javascript, rest apis, gcp, c++. delivered high-impact solutions using modern engineering practices. technical skills: pytorch, javascript, rest apis, gcp, c++, numpy, docker, graphql, sql, mongodb. education: m.sc computer science & engineering, big data analytics. expertise includes: continuous integration deployment (ci/cd), managed database structures, front-end and back-end integration.","['pytorch', 'javascript', 'rest apis', 'gcp', 'c++', 'numpy', 'docker', 'graphql', 'sql', 'mongodb']","['backend developer', 'ai systems developer']",10.15
473_4d8be2,"embedded systems engineer, gaming engineer. embedded systems engineer with 2.52 years of experience building scalable systems. worked on secure platforms. strong background in java, pandas, graphql, git, aws. delivered high-impact solutions using modern engineering practices. technical skills: java, pandas, graphql, git, aws, postgresql. education: master of science, artificial intelligence and data science. expertise includes: continuous integration deployment (ci/cd), agile methodologies, scrum, restful api development, microservices.","['java', 'pandas', 'graphql', 'git', 'aws', 'postgresql']","['embedded systems engineer', 'gaming engineer']",2.52
474_bf1c3a,"game developer, healthtech developer. game developer with 1.82 years of experience building scalable systems. worked on distributed systems. strong background in pytorch, flask, microservices, go, javascript. delivered high-impact solutions using modern engineering practices. technical skills: pytorch, flask, microservices, go, javascript, django, mongodb, typescript. education: b.s. information technology, software engineering. expertise includes: cloud infrastructure provisioning, managed database structures, restful api development, microservices.","['pytorch', 'flask', 'microservices', 'go', 'javascript', 'django', 'mongodb', 'typescript']","['game developer', 'healthtech developer']",1.82
475_cdf4a2,"ai engineer, ai systems engineer. ai engineer with 1.55 years of experience building scalable systems. worked on secure platforms. strong background in pandas, numpy, mongodb, swift, sql. delivered high-impact solutions using modern engineering practices. technical skills: pandas, numpy, mongodb, swift, sql, kafka. education: bachelor of engineering, information systems. expertise includes: cloud infrastructure provisioning, restful api development, microservices, managed database structures.","['pandas', 'numpy', 'mongodb', 'swift', 'sql', 'kafka']","['ai engineer', 'ai systems engineer']",1.55
476_82fad0,"ai engineer, gaming engineer. ai engineer with 9.22 years of experience building scalable systems. worked on ml pipelines. strong background in docker, mongodb, flask, java, typescript. delivered high-impact solutions using modern engineering practices. technical skills: docker, mongodb, flask, java, typescript, numpy, terraform, aws, gcp. education: m.sc computer science & engineering, big data analytics. expertise includes: agile methodologies, scrum, developed algorithm optimization, restful api development, microservices.","['docker', 'mongodb', 'flask', 'java', 'typescript', 'numpy', 'terraform', 'aws', 'gcp']","['ai engineer', 'gaming engineer']",9.22
477_ce1a21,"machine learning engineer, gaming engineer. machine learning engineer with 3.97 years of experience building scalable systems. worked on distributed systems. strong background in kubernetes, c#, microservices, ci/cd, redis. delivered high-impact solutions using modern engineering practices. technical skills: kubernetes, c#, microservices, ci/cd, redis, flask, java, spring, angular. education: m.sc computer science & engineering, big data analytics. expertise includes: managed database structures, restful api development, microservices, front-end and back-end integration.","['kubernetes', 'c#', 'microservices', 'ci/cd', 'redis', 'flask', 'java', 'spring', 'angular']","['machine learning engineer', 'gaming engineer']",3.97
478_0771a1,"full stack developer, fintech developer. full stack developer with 6.1 years of experience building scalable systems. worked on distributed systems. strong background in swift, go, scikit-learn, redis, terraform. delivered high-impact solutions using modern engineering practices. technical skills: swift, go, scikit-learn, redis, terraform, graphql, git, javascript, pandas, java, typescript. education: master of science, artificial intelligence and data science. expertise includes: restful api development, microservices, agile methodologies, scrum, continuous integration deployment (ci/cd).","['swift', 'go', 'scikit-learn', 'redis', 'terraform', 'graphql', 'git', 'javascript', 'pandas', 'java', 'typescript']","['full stack developer', 'fintech developer']",6.1
479_a10006,"data engineer, e-commerce engineer. data engineer with 0.5 years of experience building scalable systems. worked on secure platforms. strong background in scikit-learn, node.js, numpy, angular, terraform. delivered high-impact solutions using modern engineering practices. technical skills: scikit-learn, node.js, numpy, angular, terraform, azure, javascript, java, postgresql, vue, typescript. education: master of science, artificial intelligence and data science. expertise includes: system architecture design, restful api development, microservices, continuous integration deployment (ci/cd).","['scikit-learn', 'node.js', 'numpy', 'angular', 'terraform', 'azure', 'javascript', 'java', 'postgresql', 'vue', 'typescript']","['data engineer', 'e-commerce engineer']",0.5
480_2e8e14,"blockchain developer, cloud platforms developer. blockchain developer with 11.51 years of experience building scalable systems. worked on distributed systems. strong background in aws, swift, node.js, django, azure. delivered high-impact solutions using modern engineering practices. technical skills: aws, swift, node.js, django, azure, rust, javascript, vue, pandas. education: b.s. information technology, software engineering. expertise includes: machine learning model training, developed algorithm optimization, managed database structures.","['aws', 'swift', 'node.js', 'django', 'azure', 'rust', 'javascript', 'vue', 'pandas']","['blockchain developer', 'cloud platforms developer']",11.51
481_af985b,"cloud engineer, cloud platforms engineer. cloud engineer with 5.49 years of experience building scalable systems. worked on cloud-native apps. strong background in go, pytorch, graphql, azure, typescript. delivered high-impact solutions using modern engineering practices. technical skills: go, pytorch, graphql, azure, typescript, redis, git, mongodb, python, tensorflow, flask, c#. education: bachelor of engineering, information systems. expertise includes: restful api development, microservices, cloud infrastructure provisioning, continuous integration deployment (ci/cd).","['go', 'pytorch', 'graphql', 'azure', 'typescript', 'redis', 'git', 'mongodb', 'python', 'tensorflow', 'flask', 'c#']","['cloud engineer', 'cloud platforms engineer']",5.49
482_a7a339,"cloud engineer, healthtech engineer. cloud engineer with 6.59 years of experience building scalable systems. worked on real-time analytics. strong background in vue, microservices, scikit-learn, node.js, typescript. delivered high-impact solutions using modern engineering practices. technical skills: vue, microservices, scikit-learn, node.js, typescript, rest apis, rust. education: master of science, artificial intelligence and data science. expertise includes: system architecture design, managed database structures, agile methodologies, scrum.","['vue', 'microservices', 'scikit-learn', 'node.js', 'typescript', 'rest apis', 'rust']","['cloud engineer', 'healthtech engineer']",6.59
483_e8b05d,"machine learning engineer, healthtech engineer. machine learning engineer with 8.1 years of experience building scalable systems. worked on real-time analytics. strong background in scikit-learn, linux, tensorflow, javascript, gcp. delivered high-impact solutions using modern engineering practices. technical skills: scikit-learn, linux, tensorflow, javascript, gcp, sql, django. education: b.s. information technology, software engineering. expertise includes: developed algorithm optimization, restful api development, microservices, continuous integration deployment (ci/cd).","['scikit-learn', 'linux', 'tensorflow', 'javascript', 'gcp', 'sql', 'django']","['machine learning engineer', 'healthtech engineer']",8.1
484_ba5acc,"full stack developer, e-commerce developer. full stack developer with 2.75 years of experience building scalable systems. worked on cloud-native apps. strong background in kotlin, python, angular, flask, redis. delivered high-impact solutions using modern engineering practices. technical skills: kotlin, python, angular, flask, redis, vue, sql, git, postgresql, pytorch, java, scikit-learn. education: b.s. information technology, software engineering. expertise includes: front-end and back-end integration, agile methodologies, scrum, data pipeline orchestration.","['kotlin', 'python', 'angular', 'flask', 'redis', 'vue', 'sql', 'git', 'postgresql', 'pytorch', 'java', 'scikit-learn']","['full stack developer', 'e-commerce developer']",2.75
485_177543,"embedded systems engineer, healthtech engineer. embedded systems engineer with 8.0 years of experience building scalable systems. worked on cloud-native apps. strong background in terraform, django, angular, vue, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: terraform, django, angular, vue, scikit-learn, spring, linux. education: b.s. information technology, software engineering. expertise includes: system architecture design, developed algorithm optimization, front-end and back-end integration.","['terraform', 'django', 'angular', 'vue', 'scikit-learn', 'spring', 'linux']","['embedded systems engineer', 'healthtech engineer']",8.0
486_5ebcc8,"devops engineer, e-commerce engineer. devops engineer with 4.99 years of experience building scalable systems. worked on ml pipelines. strong background in java, aws, kafka, microservices, docker. delivered high-impact solutions using modern engineering practices. technical skills: java, aws, kafka, microservices, docker, c++, gcp, scikit-learn, terraform, javascript, linux. education: m.sc computer science & engineering, big data analytics. expertise includes: agile methodologies, scrum, cloud infrastructure provisioning, data pipeline orchestration.","['java', 'aws', 'kafka', 'microservices', 'docker', 'c++', 'gcp', 'scikit-learn', 'terraform', 'javascript', 'linux']","['devops engineer', 'e-commerce engineer']",4.99
487_b2e7a2,"mobile app developer, fintech developer. mobile app developer with 4.35 years of experience building scalable systems. worked on distributed systems. strong background in rust, ci/cd, python, mongodb, numpy. delivered high-impact solutions using modern engineering practices. technical skills: rust, ci/cd, python, mongodb, numpy, spring, pytorch, kotlin, tensorflow, microservices, flask. education: bachelor of engineering, information systems. expertise includes: agile methodologies, scrum, data pipeline orchestration, restful api development, microservices.","['rust', 'ci/cd', 'python', 'mongodb', 'numpy', 'spring', 'pytorch', 'kotlin', 'tensorflow', 'microservices', 'flask']","['mobile app developer', 'fintech developer']",4.35
488_9c94ab,"ai engineer, e-commerce engineer. ai engineer with 5.51 years of experience building scalable systems. worked on ml pipelines. strong background in javascript, ci/cd, kubernetes, git, rust. delivered high-impact solutions using modern engineering practices. technical skills: javascript, ci/cd, kubernetes, git, rust, postgresql, pandas, sql, mongodb, numpy, azure. education: bachelor of engineering, information systems. expertise includes: front-end and back-end integration, machine learning model training, restful api development, microservices.","['javascript', 'ci/cd', 'kubernetes', 'git', 'rust', 'postgresql', 'pandas', 'sql', 'mongodb', 'numpy', 'azure']","['ai engineer', 'e-commerce engineer']",5.51
489_caf82a,"cloud engineer, cloud platforms engineer. cloud engineer with 5.51 years of experience building scalable systems. worked on secure platforms. strong background in git, gcp, terraform, kafka, c++. delivered high-impact solutions using modern engineering practices. technical skills: git, gcp, terraform, kafka, c++, linux, python. education: bachelor of engineering, information systems. expertise includes: machine learning model training, managed database structures, cloud infrastructure provisioning.","['git', 'gcp', 'terraform', 'kafka', 'c++', 'linux', 'python']","['cloud engineer', 'cloud platforms engineer']",5.51
490_cba885,"machine learning engineer, fintech engineer. machine learning engineer with 9.85 years of experience building scalable systems. worked on secure platforms. strong background in c++, azure, vue, sql, python. delivered high-impact solutions using modern engineering practices. technical skills: c++, azure, vue, sql, python, git. education: master of science, artificial intelligence and data science. expertise includes: cloud infrastructure provisioning, developed algorithm optimization, agile methodologies, scrum.","['c++', 'azure', 'vue', 'sql', 'python', 'git']","['machine learning engineer', 'fintech engineer']",9.85
491_b7aa4a,"frontend developer, e-commerce developer. frontend developer with 5.64 years of experience building scalable systems. worked on secure platforms. strong background in microservices, postgresql, git, react, aws. delivered high-impact solutions using modern engineering practices. technical skills: microservices, postgresql, git, react, aws, swift, gcp, python, ci/cd, linux, kubernetes, docker. education: bachelor of engineering, information systems. expertise includes: data pipeline orchestration, restful api development, microservices, system architecture design.","['microservices', 'postgresql', 'git', 'react', 'aws', 'swift', 'gcp', 'python', 'ci/cd', 'linux', 'kubernetes', 'docker']","['frontend developer', 'e-commerce developer']",5.64
492_76602d,"devops engineer, gaming engineer. devops engineer with 5.6 years of experience building scalable systems. worked on secure platforms. strong background in angular, rest apis, azure, node.js, graphql. delivered high-impact solutions using modern engineering practices. technical skills: angular, rest apis, azure, node.js, graphql, mongodb, gcp, c#, javascript. education: m.sc computer science & engineering, big data analytics. expertise includes: agile methodologies, scrum, restful api development, microservices, developed algorithm optimization.","['angular', 'rest apis', 'azure', 'node.js', 'graphql', 'mongodb', 'gcp', 'c#', 'javascript']","['devops engineer', 'gaming engineer']",5.6
493_be037f,"mobile app developer, e-commerce developer. mobile app developer with 8.95 years of experience building scalable systems. worked on ml pipelines. strong background in postgresql, redis, ci/cd, aws, gcp. delivered high-impact solutions using modern engineering practices. technical skills: postgresql, redis, ci/cd, aws, gcp, microservices, node.js, kubernetes. education: bachelor of science in computer science, department of mathematics. expertise includes: continuous integration deployment (ci/cd), restful api development, microservices, front-end and back-end integration.","['postgresql', 'redis', 'ci/cd', 'aws', 'gcp', 'microservices', 'node.js', 'kubernetes']","['mobile app developer', 'e-commerce developer']",8.95
494_a0aaf4,"cloud engineer, gaming engineer. cloud engineer with 11.96 years of experience building scalable systems. worked on distributed systems. strong background in docker, mongodb, pandas, java, postgresql. delivered high-impact solutions using modern engineering practices. technical skills: docker, mongodb, pandas, java, postgresql, vue, typescript, pytorch, kubernetes, terraform, react, git. education: m.sc computer science & engineering, big data analytics. expertise includes: data pipeline orchestration, developed algorithm optimization, machine learning model training.","['docker', 'mongodb', 'pandas', 'java', 'postgresql', 'vue', 'typescript', 'pytorch', 'kubernetes', 'terraform', 'react', 'git']","['cloud engineer', 'gaming engineer']",11.96
495_960659,"ai engineer, healthtech engineer. ai engineer with 6.4 years of experience building scalable systems. worked on cloud-native apps. strong background in pandas, c++, angular, git, gcp. delivered high-impact solutions using modern engineering practices. technical skills: pandas, c++, angular, git, gcp, javascript, kafka, pytorch, rust. education: m.sc computer science & engineering, big data analytics. expertise includes: data pipeline orchestration, managed database structures, restful api development, microservices.","['pandas', 'c++', 'angular', 'git', 'gcp', 'javascript', 'kafka', 'pytorch', 'rust']","['ai engineer', 'healthtech engineer']",6.4
496_f3fbb0,"backend developer, e-commerce developer. backend developer with 2.8 years of experience building scalable systems. worked on ml pipelines. strong background in sql, rust, c#, azure, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: sql, rust, c#, azure, scikit-learn, react, tensorflow, redis, terraform, spring, kubernetes, go. education: master of science, artificial intelligence and data science. expertise includes: restful api development, microservices, agile methodologies, scrum, data pipeline orchestration.","['sql', 'rust', 'c#', 'azure', 'scikit-learn', 'react', 'tensorflow', 'redis', 'terraform', 'spring', 'kubernetes', 'go']","['backend developer', 'e-commerce developer']",2.8
497_325558,"data scientist. data scientist with 4.73 years of experience building scalable systems. worked on cloud-native apps. strong background in kubernetes, sql, c++, c#, typescript. delivered high-impact solutions using modern engineering practices. technical skills: kubernetes, sql, c++, c#, typescript, kotlin, linux. education: b.s. information technology, software engineering. expertise includes: developed algorithm optimization, system architecture design, continuous integration deployment (ci/cd).","['kubernetes', 'sql', 'c++', 'c#', 'typescript', 'kotlin', 'linux']",['data scientist'],4.73
498_3fd064,"cybersecurity analyst. cybersecurity analyst with 9.69 years of experience building scalable systems. worked on cloud-native apps. strong background in kubernetes, docker, swift, c#, typescript. delivered high-impact solutions using modern engineering practices. technical skills: kubernetes, docker, swift, c#, typescript, angular, node.js, aws. education: b.s. information technology, software engineering. expertise includes: agile methodologies, scrum, front-end and back-end integration, cloud infrastructure provisioning.","['kubernetes', 'docker', 'swift', 'c#', 'typescript', 'angular', 'node.js', 'aws']",['cybersecurity analyst'],9.69
499_42754c,"embedded systems engineer, gaming engineer. embedded systems engineer with 2.67 years of experience building scalable systems. worked on real-time analytics. strong background in c++, java, spring, django, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: c++, java, spring, django, scikit-learn, javascript, c#, pytorch, docker, microservices, azure, tensorflow. education: bachelor of engineering, information systems. expertise includes: data pipeline orchestration, restful api development, microservices, developed algorithm optimization.","['c++', 'java', 'spring', 'django', 'scikit-learn', 'javascript', 'c#', 'pytorch', 'docker', 'microservices', 'azure', 'tensorflow']","['embedded systems engineer', 'gaming engineer']",2.67
500_66dc43,"embedded systems engineer, healthtech engineer. embedded systems engineer with 4.72 years of experience building scalable systems. worked on real-time analytics. strong background in kafka, ci/cd, gcp, react, docker. delivered high-impact solutions using modern engineering practices. technical skills: kafka, ci/cd, gcp, react, docker, vue, numpy. education: b.s. information technology, software engineering. expertise includes: data pipeline orchestration, managed database structures, continuous integration deployment (ci/cd).","['kafka', 'ci/cd', 'gcp', 'react', 'docker', 'vue', 'numpy']","['embedded systems engineer', 'healthtech engineer']",4.72
501_1a9ea4,"devops engineer, ai systems engineer. devops engineer with 4.92 years of experience building scalable systems. worked on cloud-native apps. strong background in ci/cd, aws, kafka, pytorch, kubernetes. delivered high-impact solutions using modern engineering practices. technical skills: ci/cd, aws, kafka, pytorch, kubernetes, python, c++, docker, swift. education: master of science, artificial intelligence and data science. expertise includes: system architecture design, developed algorithm optimization, managed database structures.","['ci/cd', 'aws', 'kafka', 'pytorch', 'kubernetes', 'python', 'c++', 'docker', 'swift']","['devops engineer', 'ai systems engineer']",4.92
502_779371,"full stack developer, ai systems developer. full stack developer with 2.87 years of experience building scalable systems. worked on ml pipelines. strong background in rust, graphql, typescript, microservices, numpy. delivered high-impact solutions using modern engineering practices. technical skills: rust, graphql, typescript, microservices, numpy, angular, javascript, scikit-learn, django, node.js. education: master of science, artificial intelligence and data science. expertise includes: data pipeline orchestration, restful api development, microservices, agile methodologies, scrum.","['rust', 'graphql', 'typescript', 'microservices', 'numpy', 'angular', 'javascript', 'scikit-learn', 'django', 'node.js']","['full stack developer', 'ai systems developer']",2.87
503_7c5635,"backend developer, ai systems developer. backend developer with 11.21 years of experience building scalable systems. worked on ml pipelines. strong background in postgresql, ci/cd, javascript, kubernetes, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: postgresql, ci/cd, javascript, kubernetes, scikit-learn, mongodb, pandas, redis, rust, go, c#. education: bachelor of science in computer science, department of mathematics. expertise includes: continuous integration deployment (ci/cd), data pipeline orchestration, restful api development, microservices.","['postgresql', 'ci/cd', 'javascript', 'kubernetes', 'scikit-learn', 'mongodb', 'pandas', 'redis', 'rust', 'go', 'c#']","['backend developer', 'ai systems developer']",11.21
